# Generated by MTSEdit for Minetestmapper colors.txt
# using node palette Mineclone2

3d_armor_stand:armor_stand 113  87  67
mcl_anvils:anvil  57  57  57
mcl_anvils:anvil_damage_1  48  48  48
mcl_anvils:anvil_damage_2  46  46  46
mcl_banners:hanging_banner 102  88  74
mcl_banners:standing_banner 102  88  74
mcl_beds:bed_black_bottom  68  65  62
mcl_beds:bed_black_top  68  65  62
mcl_beds:bed_blue_bottom  85  94 138
mcl_beds:bed_blue_top  85  94 138
mcl_beds:bed_brown_bottom 121  93  69
mcl_beds:bed_brown_top 121  93  69
mcl_beds:bed_cyan_bottom  62 124 118
mcl_beds:bed_cyan_top  62 124 118
mcl_beds:bed_green_bottom  97 108  56
mcl_beds:bed_green_top  97 108  56
mcl_beds:bed_grey_bottom 102 105 101
mcl_beds:bed_grey_top 102 105 101
mcl_beds:bed_light_blue_bottom  73 131 158
mcl_beds:bed_light_blue_top  73 131 158
mcl_beds:bed_lime_bottom 112 149  57
mcl_beds:bed_lime_top 112 149  57
mcl_beds:bed_magenta_bottom 148  78 134
mcl_beds:bed_magenta_top 148  78 134
mcl_beds:bed_orange_bottom 182 112  52
mcl_beds:bed_orange_top 182 112  52
mcl_beds:bed_pink_bottom 175 111 126
mcl_beds:bed_pink_top 175 111 126
mcl_beds:bed_purple_bottom 116  70 137
mcl_beds:bed_purple_top 116  70 137
mcl_beds:bed_red_bottom 143  72  64
mcl_beds:bed_red_top 143  72  64
mcl_beds:bed_silver_bottom 124 122 111
mcl_beds:bed_silver_top 124 122 111
mcl_beds:bed_white_bottom 179 177 172
mcl_beds:bed_white_top 179 177 172
mcl_beds:bed_yellow_bottom 189 154  60
mcl_beds:bed_yellow_top 189 154  60
mcl_beds:red  99  43  36
mcl_books:bookshelf  78  62  33
mcl_bows:arrow_box 169 160 153
mcl_cake:cake 186 155 140
mcl_cake:cake_1 241 228 226
mcl_cake:cake_2 241 228 226
mcl_cake:cake_3 241 228 226
mcl_cake:cake_4 241 228 226
mcl_cake:cake_5 241 228 226
mcl_cake:cake_6 241 228 226
mcl_cauldrons:cauldron  56  55  57
mcl_chests:black_shulker_box  19  20  23
mcl_chests:blue_shulker_box  31  32  99
mcl_chests:brown_shulker_box  74  46  25
mcl_chests:chest  95  74  44
mcl_chests:chest_left 100  80  65
mcl_chests:chest_right 100  80  65
mcl_chests:cyan_shulker_box  15  83  93
mcl_chests:dark_green_shulker_box  56  71  24
mcl_chests:dark_grey_shulker_box  38  41  43
mcl_chests:ender_chest  26  39  39
mcl_chests:green_shulker_box  63 106  19
mcl_chests:grey_shulker_box  74  74  69
mcl_chests:lightblue_shulker_box  36 105 136
mcl_chests:magenta_shulker_box 109  37 103
mcl_chests:orange_shulker_box 148  72  14
mcl_chests:pink_shulker_box 147  80 103
mcl_chests:red_shulker_box  97  21  21
mcl_chests:trapped_chest  95  70  31
mcl_chests:trapped_chest_left 100  80  65
mcl_chests:trapped_chest_on  88  73  61
mcl_chests:trapped_chest_on_left 100  80  65
mcl_chests:trapped_chest_on_right 100  80  65
mcl_chests:trapped_chest_right 100  80  65
mcl_chests:violet_shulker_box  71  22 109
mcl_chests:white_shulker_box 136 140 141
mcl_chests:yellow_shulker_box 161 124  27
mcl_cocoas:cocoa 120  73  33
